,Open,High,Low,Close,Adj Close,Volume
2016-08-19,117.1,117.52,116.76,117.26,109.90935892098,18742961.0
2016-08-22,117.09,117.55,116.87,117.35,109.993717119027,14500622.0
2016-08-23,117.79,118.0095,117.51,117.56,110.190552914468,11997927.0
2016-08-24,117.49,117.64,116.41,116.8,109.478194797634,17728656.0
2016-08-25,116.48,116.97,116.36,116.61,109.300105268425,24266264.0
2016-08-26,116.66,117.54,116.08,116.78,109.459448531401,23895963.0
2016-08-29,116.81,117.251,116.79,116.94,109.609418661261,11184872.0
2016-08-30,116.73,117.09,116.16,116.56,109.253239602844,19843301.0
2016-08-31,116.38,116.56,115.95,116.44,109.140762005449,16169794.0
2016-09-01,116.48,116.88,115.91,116.74,109.421955998936,20944727.0
2016-09-02,117.32,117.56,116.68,117.12,109.778135057353,18088215.0
2016-09-06,117.29,117.85,117.06,117.85,110.462373774838,18525231.0
2016-09-07,117.95,118.12,117.47,117.92,110.527985706652,17546872.0
2016-09-08,117.57,117.6,116.92,117.23,109.881239521632,20125319.0
2016-09-09,116.23,116.51,114.26,114.28,107.116165252342,50813287.0
2016-09-12,113.64,116.49,113.63,116.33,109.037657541171,39645960.0
2016-09-13,115.73,116.09,114.73,115.29,108.062851697082,45863935.0
2016-09-14,115.43,116.47,115.38,115.84,108.578374018475,28221762.0
2016-09-15,115.89,117.815,115.86,117.64,110.265537979397,39466531.0
2016-09-16,117.22,117.412,116.71,117.29,110.212926583216,27596527.0
2016-09-19,117.57,117.95,116.55,116.78,109.733699091039,16222870.0
2016-09-20,117.19,117.48,116.8,117.0,109.9404246759,18078584.0
2016-09-21,117.48,118.32,116.81,118.15,111.021035687671,31546776.0
2016-09-22,118.85,119.22,118.7177,119.09,111.904317732076,22614422.0
2016-09-23,118.92,119.0,118.16,118.33,111.190174802557,22213394.0
2016-09-26,117.66,117.8,117.17,117.34,110.259909670684,16403881.0
2016-09-27,117.31,118.5552,117.15,118.5,111.34991729995,20238432.0
2016-09-28,118.62,118.77,118.09,118.7,111.537849649823,14794330.0
2016-09-29,118.51,118.72,117.3338,117.84,110.729740545368,27207499.0
2016-09-30,118.145,119.07,118.03,118.72,111.55664288481,25543200.0
2016-10-03,118.53,118.7,118.09,118.55,111.396900387418,19216438.0
2016-10-04,118.86,119.16,117.92,118.37,111.227761272532,21239742.0
2016-10-05,118.7,119.17,118.67,118.79,111.622419207266,14481285.0
2016-10-06,118.63,118.981,118.15,118.73,111.566039502304,11987056.0
2016-10-07,118.86,119.01,117.89,118.47,111.321727447469,19984158.0
2016-10-10,119.06,119.48,119.03,119.22,112.026473759494,19687341.0
2016-10-11,119.1,119.14,117.0,117.52,110.42904878557,27774426.0
2016-10-12,117.575,117.82,117.06,117.42,110.335082610634,14267824.0
2016-10-13,116.635,117.32,115.94,117.0,109.9404246759,22821011.0
2016-10-14,117.58,118.05,117.07,117.14,110.071977320811,21313321.0
2016-10-17,117.1,117.3,116.672,116.82,109.771285561014,14182694.0
2016-10-18,118.18,118.41,117.8,117.86,110.748533780355,19276656.0
2016-10-19,117.77,118.02,117.64,117.85,110.739137162861,13702918.0
